,state,year,married_last_year,marriage_rate_per_1000,divorced_last_year,divorce_rate_per_1000,population_over_15
0,Alabama,2011,75517,19.48947521367786,50452.0,13.020684130466988,3874758
1,Alaska,2011,15537,27.49123260233349,7469.0,13.215679752000312,565162
2,Arizona,2011,94665,18.45534251606764,55091.0,10.740223678790286,5129409
3,Arkansas,2011,49544,21.15117299699109,28500.0,12.167132859967827,2342376
4,California,2011,489201,16.272857879895778,239728.0,7.9743493448125715,30062390
5,Colorado,2011,86197,21.089725961035008,44916.0,10.98954872287723,4087156
6,Connecticut,2011,40351,13.791337955624094,26488.0,9.053182319361875,2925822
7,Delaware,2011,11215,15.199628107182113,4895.0,6.634166703937266,737847
8,District of Columbia,2011,9694,18.32278648491309,4953.0,9.361745560117036,529068
9,Florida,2011,229663,14.563039999644902,153677.0,9.74473161991888,15770265
10,Georgia,2011,144375,18.6621111510816,82768.0,10.698705563655217,7736263
11,Hawaii,2011,25874,23.073911604998607,8278.0,7.38215352346674,1121353
12,Idaho,2011,24482,19.99490367621356,14585.0,11.91184013224307,1224412
13,Illinois,2011,156438,15.163571215948046,88590.0,8.587049016356879,10316699
14,Indiana,2011,91945,17.700973770138962,55972.0,10.775560431368948,5194347
15,Iowa,2011,41899,17.020531556981144,24926.0,10.125629957500465,2461674
16,Kansas,2011,40663,17.93639885208459,25027.0,11.039378650643608,2267066
17,Kentucky,2011,58614,16.660025092077237,41381.0,11.761840146300338,3518242
18,Louisiana,2011,58915,16.17911903646433,35525.0,9.755804188583472,3641422
19,Maine,2011,19206,17.340257639066955,14236.0,12.853061946774817,1107596
20,Maryland,2011,74563,15.80442472173801,48308.0,10.239396878582136,4717856
21,Massachusetts,2011,79435,14.601361776654953,36487.0,6.706865829229046,5440246
22,Michigan,2011,125566,15.684617842486293,78105.0,9.7562005366691,8005678
23,Minnesota,2011,66926,15.623880169139253,32569.0,7.603235711512661,4283571
24,Mississippi,2011,43389,18.463254977938476,25698.0,10.935230736432345,2350019
25,Missouri,2011,81670,16.868735542964878,50392.0,10.40834237150834,4841501
26,Montana,2011,15639,19.19317248819066,9498.0,11.656547879841094,814821
27,Nebraska,2011,29195,20.040609778197574,14706.0,10.094783606719423,1456792
28,Nevada,2011,36382,16.746320085687838,23939.0,11.01891475266014,2172537
29,New Hampshire,2011,16925,15.51411532418772,12000.0,10.999668176676671,1090942
30,New Jersey,2011,95285,13.340727658743948,47985.0,6.718316804374544,7142414
31,New Mexico,2011,31399,19.05147338108893,19675.0,11.937887791742561,1648114
32,New York,2011,232169,14.54918968930074,116276.0,7.286595455522195,15957521
33,North Carolina,2011,145037,18.738431970100574,77716.0,10.040720498826758,7740082
34,North Dakota,2011,13076,23.46784209279453,4068.0,7.300946897635987,557188
35,Ohio,2011,149259,16.004044463363403,90916.0,9.748314717579156,9326330
36,Oklahoma,2011,68927,22.92122874838924,41599.0,13.833478821133141,3007125
37,Oregon,2011,52561,16.659709405171576,33971.0,10.767431902039222,3154977
38,Pennsylvania,2011,143346,13.667360811899163,78784.0,7.511680508731765,10488199
39,Rhode Island,2011,10531,12.067659566178468,7757.0,8.88888379592122,872663
40,South Carolina,2011,63370,16.781651566622916,33418.0,8.849759066646753,3776148
41,South Dakota,2011,10414,15.89001800482163,7243.0,11.05160364979096,655380
42,Tennessee,2011,95586,18.494615750007497,64132.0,12.40868639005169,5168315
43,Texas,2011,401188,20.2226799401044,220326.0,11.105970718175621,19838518
44,Utah,2011,56974,27.587495902355737,23475.0,11.366877282757065,2065211
45,Vermont,2011,8947,17.055256591350563,5364.0,10.22514768704643,524589
46,Virginia,2011,111363,16.98440911069431,62052.0,9.463794564952481,6556778
47,Washington,2011,104344,18.914058530549635,61738.0,11.191023399132423,5516743
48,West Virginia,2011,28428,18.507113663676762,17195.0,11.194238759213519,1536058
49,Wisconsin,2011,74791,16.193586005325905,36946.0,7.99946823217728,4618557
50,Wyoming,2011,10146,22.319454618648823,5065.0,11.142128685536791,454581
51,Puerto Rico,2011,27240,9.09016280201265,20718.0,6.913729549636494,2996646
52,Alabama,2012,75260,19.366659289872004,43374.0,11.161433431290304,3886060
53,Alaska,2012,13765,23.964219931127897,5036.0,8.767439998050133,574398
54,Arizona,2012,91642,17.613235700273243,48304.0,9.28384078551318,5203019
55,Arkansas,2012,49996,21.239031286746464,33936.0,14.416508635631411,2353968
56,California,2012,488044,16.04562860151611,233747.0,7.684998788466995,30416010
57,Colorado,2012,88505,21.314220815375815,49465.0,11.912410966979996,4152392
58,Delaware,2012,11338,15.183167547820684,7852.0,10.514926052697831,746748
59,District of Columbia,2012,10957,20.326311786366883,3957.0,7.34062386954949,539055
60,Connecticut,2012,42645,14.477162102798884,26945.0,9.147312295929556,2945674
61,Florida,2012,244055,15.237669369265816,160808.0,10.040110368289515,16016557
62,Georgia,2012,154987,19.793704205659278,84358.0,10.77353132444015,7830116
63,Idaho,2012,27151,21.904429210961332,15455.0,12.468526148407328,1239521
64,Hawaii,2012,20607,18.11414893738589,9109.0,8.0070744247415,1137619
65,Illinois,2012,152894,14.780012771824188,87133.0,8.423004518472649,10344646
66,Indiana,2012,104140,19.95430858052514,61176.0,11.721958725967024,5218923
67,Iowa,2012,45167,18.269082590070294,24473.0,9.898803512006339,2472319
68,Kansas,2012,49780,21.82115942333926,29214.0,12.806013487212397,2281272
69,Kentucky,2012,68362,19.360954266606363,44730.0,12.668082916610143,3530921
70,Louisiana,2012,63930,17.450373027995933,35038.0,9.563994527685304,3663532
71,Maine,2012,17067,15.350478763686993,11623.0,10.454011523427312,1111822
72,Maryland,2012,79941,16.74598250177743,44175.0,9.25374685100284,4773742
73,Massachusetts,2012,82449,14.99579857915586,43852.0,7.975788175637579,5498140
74,Michigan,2012,125482,15.62486380759958,78513.0,9.7763418827088,8030918
75,Minnesota,2012,75732,17.549124316493216,34470.0,7.987618380466926,4315429
76,Mississippi,2012,38162,16.17048287294082,27433.0,11.624255978548963,2359979
77,Missouri,2012,95145,19.590708718519124,52406.0,10.790589953257799,4856639
78,Montana,2012,16017,19.49282390983428,9163.0,11.151448179172847,821687
79,Nebraska,2012,24620,16.802180598190386,13342.0,9.105389664543305,1465286
80,Nevada,2012,46749,21.20552471301621,29923.0,13.573186934214291,2204567
81,New Hampshire,2012,16856,15.351128839831334,10759.0,9.79845723705181,1098030
82,New Jersey,2012,99941,13.886764117594177,49676.0,6.902461395279298,7196853
83,New Mexico,2012,28626,17.30489525539017,16346.0,9.881430093083482,1654214
84,New York,2012,238732,14.862258652183167,117595.0,7.320875735986293,16062969
85,North Carolina,2012,138360,17.64711509334694,74192.0,9.462812684342266,7840375
86,North Dakota,2012,11003,19.309030477136442,4960.0,8.704243494192198,569837
87,Ohio,2012,150605,16.10433810373758,92623.0,9.904266844941972,9351828
88,Oklahoma,2012,64910,21.446507632326703,38280.0,12.64785567964052,3026600
89,Oregon,2012,51275,16.097713355529496,35060.0,11.007037157383992,3185235
90,Pennsylvania,2012,147631,14.033658498561756,81459.0,7.743412885060334,10519780
91,Rhode Island,2012,9446,10.823024190822542,7108.0,8.144193939060623,872769
92,South Carolina,2012,73771,19.321633126002475,36367.0,9.525014326677583,3818052
93,South Dakota,2012,13731,20.741221875637258,6350.0,9.591927675354787,662015
94,Tennessee,2012,106747,20.463721929406514,59742.0,11.452721626899153,5216402
95,Texas,2012,402427,19.919512551148603,214268.0,10.605933785033086,20202653
96,Vermont,2012,5007,9.533311373904963,4144.0,7.890162239557054,525211
97,Utah,2012,59110,28.135976112741915,26657.0,12.688558877302677,2100869
98,Virginia,2012,122748,18.479000663448332,60195.0,9.06200870838036,6642567
99,Washington,2012,107859,19.340900610052735,57237.0,10.263539697360335,5576731
100,West Virginia,2012,26684,17.376785281698762,19624.0,12.779269763455872,1535612
101,Wisconsin,2012,71849,15.503630079316682,38707.0,8.352224936743877,4634334
102,Wyoming,2012,12977,28.134173362182224,6687.0,14.497435252594014,461254
